er,sx,sy,sz,u (sy/sx),v (sz/sx),d,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
0.5,1.0,1.0,1.0,1.0,1.0,0.1,-0.606548228232419,-0.6065482282324174,-0.6065482282324174,-1.648673515895288,-1.6486735158952928,-1.6486735158952928,-4.946020547685874
1.25,1.0,1.0,1.0,1.0,1.0,0.1,0.2310853522598327,0.2310853522598329,0.23108535225983295,4.327405394676849,4.327405394676846,4.327405394676844,12.982216184030538
1.5,1.0,1.0,1.0,1.0,1.0,0.1,0.43054323288945856,0.4305432328894577,0.43054323288945756,2.322647120217887,2.3226471202178915,2.3226471202178924,6.967941360653671
1.75,1.0,1.0,1.0,1.0,1.0,0.1,0.6053042172878063,0.6053042172878037,0.6053042172878043,1.6520618416979016,1.6520618416979085,1.652061841697907,4.956185525093717
2,1.0,1.0,1.0,1.0,1.0,0.1,0.7602041879102085,0.7602041879102075,0.760204187910207,1.315436057711004,1.3154360577110058,1.3154360577110065,3.9463081731330165
3,1.0,1.0,1.0,1.0,1.0,0.1,1.2404158117499908,1.2404158117499906,1.2404158117499913,0.8061812744785881,0.8061812744785882,0.8061812744785878,2.418543823435764
5,1.0,1.0,1.0,1.0,1.0,0.1,1.8301198782369732,1.8301198782369685,1.830119878236969,0.5464122934740971,0.5464122934740986,0.5464122934740985,1.639236880422294
8,1.0,1.0,1.0,1.0,1.0,0.1,2.3139341133214115,2.3139341133214155,2.3139341133214177,0.43216442259222504,0.43216442259222426,0.4321644225922239,1.2964932677766732
10,1.0,1.0,1.0,1.0,1.0,0.1,2.515242495185068,2.5152424951850727,2.5152424951850723,0.39757598001556566,0.3975759800155649,0.39757598001556493,1.1927279400466955
12.5,1.0,1.0,1.0,1.0,1.0,0.1,2.696784140604423,2.6967841406044193,2.696784140604419,0.37081202938840807,0.3708120293884085,0.3708120293884086,1.112436088165225
15,1.0,1.0,1.0,1.0,1.0,0.1,2.8313314349920717,2.8313314362895827,2.8313314348015366,0.35319072420880326,0.35319072404694696,0.3531907242325713,1.0595721724883216
17.5,1.0,1.0,1.0,1.0,1.0,0.1,2.936297781912842,2.9362977383047415,2.9362977502019687,0.3405649134634271,0.3405649185212892,0.3405649171413957,1.021694749126112
20,1.0,1.0,1.0,1.0,1.0,0.1,3.0164428611024556,3.016443006446961,3.0164427454764073,0.3315163077992195,0.33151629182541403,0.3315163205068768,0.9945489201315103
0.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,-0.41642682345937515,-0.4164268234593749,-0.44199544187225553,-1.680967604788045,-1.6809676047880462,-1.583726739431653,-4.945661949007745
1.25,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.16298877456651378,0.1629887745665132,0.15941726375920734,4.294774298792818,4.2947742987928335,4.390992440174601,12.980541037760252
1.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.30561392253468295,0.30561392253468167,0.2933535950745424,2.290471566852651,2.2904715668526605,2.3861988117859165,6.967141945491228
1.75,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.43205865893345713,0.4320586589334565,0.4080683861757032,1.6201503789507652,1.6201503789507674,1.71539875107747,4.955699508979002
2,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.5452855702456973,0.5452855702456982,0.5077893940522934,1.283731017647488,1.283731017647486,1.3785242626156784,3.945986297910652
3,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.9031413507563737,0.903141350756373,0.8061516943536458,0.7750724727793225,0.775072472779323,0.8683229284300447,2.41846787398869
5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,1.3565285377252714,1.3565285377252734,1.1528309678514594,0.5160230548292131,0.5160230548292123,0.6072008989354231,1.6392470085938484
8,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,1.7395783365483146,1.7395783365483124,1.4235908650736155,0.40239636542551205,0.40239636542551255,0.4917143100407589,1.2965070408917834
10,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,1.901667927884803,1.9016679278848079,1.5333109107737044,0.3680979153803154,0.36809791538031444,0.45652841513191994,1.1927242458925498
12.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.0489331745564314,2.048933174556432,1.6317313198941905,0.34164120562474726,0.3416412056247472,0.42899219464966293,1.1122746058991573
15,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.1577558619992945,2.15775587684946,1.7046047408432263,0.32441112191043087,0.32441111967775993,0.41065238364509477,1.0594746252332856
17.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.242041480906892,2.2420418220643152,1.7618466680008573,0.31221545451373817,0.3122154070058733,0.3973103975014353,1.0217412590210468
20,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.30807130634314,2.3080696666505967,1.8196372433644479,0.30328352424651267,0.30328373970436495,0.38469206021840024,0.991259324169278
0.5,1.0,1.0,0.5,1.0,0.5,0.05,-0.28860755786430325,-0.2886075578643039,-0.33700802820252607,-1.7324563628894594,-1.7324563628894554,-1.4836441810208847,-4.9485569067998
1.25,1.0,1.0,0.5,1.0,0.5,0.05,0.11777541348039157,0.11777541348039157,0.11130205434666146,4.245368241337102,4.245368241337102,4.492280065583512,12.983016548257716
1.5,1.0,1.0,0.5,1.0,0.5,0.05,0.22310295269346442,0.22310295269346517,0.20103552319988682,2.2411178066611352,2.2411178066611277,2.48712263405735,6.969358247379613
1.75,1.0,1.0,0.5,1.0,0.5,0.05,0.3182711166810062,0.3182711166810086,0.2753132655372552,1.5709876699277594,1.5709876699277476,1.8161129977674118,4.958088337622918
2,1.0,1.0,0.5,1.0,0.5,0.05,0.40493401230149517,0.4049340123014996,0.33805172459784205,1.23476908535834,1.2347690853583264,1.479063597722559,3.9486017684392256
3,1.0,1.0,0.5,1.0,0.5,0.05,0.6879721865038456,0.6879721865038411,0.5163725570150297,0.7267735670258889,0.7267735670258937,0.9682931310105367,2.421840265062319
5,1.0,1.0,0.5,1.0,0.5,0.05,1.0672198309368233,1.06721983093683,0.7077753631186237,0.46850703623178713,0.4685070362317842,0.7064388308133291,1.6434529032769005
8,1.0,1.0,0.5,1.0,0.5,0.05,1.4066066526247887,1.4066066526247907,0.8468006259056226,0.3554654025466028,0.3554654025466023,0.590457759127502,1.301388564220707
10,1.0,1.0,0.5,1.0,0.5,0.05,1.555755459899479,1.555755459899481,0.900601554661443,0.3213872699712757,0.32138726997127526,0.5551844735466414,1.1979590134891924
12.5,1.0,1.0,0.5,1.0,0.5,0.05,1.6943839529403906,1.6943838894310677,0.94722550505838,0.2950925019871162,0.29509251304784756,0.5278574081144317,1.1180424231493955
15,1.0,1.0,0.5,1.0,0.5,0.05,1.7994860117792333,1.7994860057067914,0.9803350908091829,0.27785711960362913,0.27785712054126976,0.5100296874890938,1.0657439276339926
17.5,1.0,1.0,0.5,1.0,0.5,0.05,1.8817932481879127,1.8817931082913584,1.0054361022892004,0.26570400360479496,0.26570402335780313,0.49729664457203027,1.0287046715346282
20,1.0,1.0,0.5,1.0,0.5,0.05,1.9552283827044403,1.9552257462602953,1.0249206754038738,0.2557246020070597,0.2557249468284344,0.4878426321168447,0.9992921809523387
0.5,1.0,1.0,0.3,1.0,0.3,0.03,-0.16772393974449779,-0.16772393974449762,-0.21785274168301047,-1.7886534293017735,-1.7886534293017753,-1.3770770001899677,-4.954383858793516
1.25,1.0,1.0,0.3,1.0,0.3,0.03,0.07156216961048945,0.07156216961048939,0.06521479900934117,4.192159092337337,4.19215909233734,4.600182850475839,12.984501035150515
1.5,1.0,1.0,0.3,1.0,0.3,0.03,0.13707092599058027,0.13707092599057946,0.1155953314729987,2.1886479414359283,2.188647941435941,2.5952605194101235,6.9725564022819935
1.75,1.0,1.0,0.3,1.0,0.3,0.03,0.19748546422997706,0.1974854642299768,0.15589466922877762,1.5190991457003744,1.5190991457003764,1.9243762566361122,4.962574548036863
2,1.0,1.0,0.3,1.0,0.3,0.03,0.2535145304604429,0.25351453046044403,0.1889882793331326,1.1833641229760217,1.1833641229760166,1.5874000285022187,3.9541282744542574
3,1.0,1.0,0.3,1.0,0.3,0.03,0.4433155850629169,0.44331558506291496,0.2786282960174321,0.6767188208766063,0.6767188208766093,1.0767032792004398,2.4301409209536553
5,1.0,1.0,0.3,1.0,0.3,0.03,0.7145234347174415,0.7145234347174426,0.3682134880483958,0.4198602668905255,0.41986026689052486,0.8147447329810192,1.6544652667620696
8,1.0,1.0,0.3,1.0,0.3,0.03,0.9745705068863297,0.9745705068863287,0.4294321359461846,0.30782790765798423,0.30782790765798457,0.6985969956323792,1.314252810948348
10,1.0,1.0,0.3,1.0,0.3,0.03,1.0942686314477459,1.0942686314477492,0.45232404891166916,0.2741557158621025,0.2741557158621017,0.6632413216184856,1.2115527533426897
12.5,1.0,1.0,0.3,1.0,0.3,0.03,1.2084516500107303,1.2084516500107354,0.47182743704216973,0.24825155395942913,0.24825155395942808,0.6358256778805922,1.1323287857994493
15,1.0,1.0,0.3,1.0,0.3,0.03,1.2966588133287098,1.2966587915691157,0.4855791112602531,0.23136386913520976,0.2313638730177916,0.6178189980647885,1.0805467402177897
17.5,1.0,1.0,0.3,1.0,0.3,0.03,1.3675697497500914,1.367569756175897,0.49590516376304045,0.21936723889572854,0.2193672378649868,0.6049543782192792,1.0436888549799945
20,1.0,1.0,0.3,1.0,0.3,0.03,1.4270795552726905,1.4270793578441943,0.5040223997147705,0.2102195346374191,0.21021956372012313,0.595211641724201,1.0156507400817434
0.5,1.0,1.0,0.2,1.0,0.2,0.02,-0.10887227846768054,-0.10887227846768091,-0.15546476757968447,-1.8370149207391793,-1.8370149207391728,-1.2864651143384542,-4.960494955816806
1.25,1.0,1.0,0.2,1.0,0.2,0.02,0.04822770035756117,0.04822770035756155,0.04261753265250766,4.146994331415263,4.14699433141523,4.69290424743141,12.986892910261904
1.5,1.0,1.0,0.2,1.0,0.2,0.02,0.09328425374437342,0.09328425374437348,0.07439539787399739,2.143984563011668,2.1439845630116667,2.688338334297743,6.9763074603210775
1.75,1.0,1.0,0.2,1.0,0.2,0.02,0.13560502622022189,0.1356050262202214,0.09911820748839141,1.4748715853290055,1.4748715853290109,2.0177927453280846,4.967535915986101
2,1.0,1.0,0.2,1.0,0.2,0.02,0.17551521523919358,0.17551521523919128,0.11896847506418211,1.1395023487134057,1.1395023487134206,1.6811176229005402,3.9601223203273666
3,1.0,1.0,0.2,1.0,0.2,0.02,0.3155305969663528,0.315530596966355,0.17074609937767374,0.6338529509432246,0.6338529509432203,1.1713298325932442,2.439035734479689
5,1.0,1.0,0.2,1.0,0.2,0.02,0.5291582767285142,0.5291582767285149,0.2196753690188953,0.3779587484419344,0.3779587484419339,0.9104343417891201,1.6663518386729883
8,1.0,1.0,0.2,1.0,0.2,0.02,0.7503369178266068,0.750336917826612,0.25152250655743597,0.2665469274513525,0.26654692745135067,0.7951574701500097,1.3282513250527128
10,1.0,1.0,0.2,1.0,0.2,0.02,0.8580101688685297,0.8580101688685334,0.263090837374903,0.23309747046907717,0.23309747046907614,0.7601937110223307,1.2263886519604839
12.5,1.0,1.0,0.2,1.0,0.2,0.02,0.9644249790226768,0.9644249786641588,0.2727818219204154,0.20737745739712676,0.20737745747421782,0.7331866859454821,1.1479416008168266
15,1.0,1.0,0.2,1.0,0.2,0.02,1.0492988563592571,1.0493013163679101,0.2795028895846596,0.19060346705602846,0.19060302020041994,0.7155561085511474,1.0967625958075957
17.5,1.0,1.0,0.2,1.0,0.2,0.02,1.119619728342235,1.1196197281346165,0.28446985752529647,0.1786320792115105,0.17863207924463545,0.7030621864118416,1.0603263448679876
20,1.0,1.0,0.2,1.0,0.2,0.02,1.1814754643141254,1.1814746393417082,0.2883170901760375,0.16927985899064332,0.16927997719141533,0.6936806967560827,1.0322405329381414
0.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,-0.28720727532162504,-0.3024905495392513,-0.30249054953925136,-1.706084915332595,-1.619885317892939,-1.6198853178929387,-4.9458555511184725
1.25,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.11474963322769521,0.11250872875473637,0.11250872875473635,4.270166154062589,4.355217638874726,4.355217638874727,12.980601431812042
1.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.21623740533498442,0.20845584590829025,0.20845584590829036,2.2660279300008983,2.350617694912593,2.350617694912592,6.967263319826084
1.75,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.3070448795472838,0.2916655014591452,0.2916655014591451,1.5958579108124866,1.6800067116221362,1.6800067116221369,4.955871334056759
2,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.3890194714829096,0.3647699800086102,0.3647699800086103,1.2595770544136544,1.3433122977620957,1.3433122977620955,3.9462016499378456
3,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.6521455822329192,0.5877251854512809,0.5877251854512808,0.7513659731041349,0.8337229918499351,0.8337229918499354,2.4188119568040056
5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.9941479655580575,0.8545187874086733,0.8545187874086734,0.4928843763462737,0.5734221496591363,0.5734221496591363,1.6397286756645462
8,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.2903774038661562,1.0683159970414604,1.06831599704146,0.37973386586892294,0.4586657892954714,0.4586657892954716,1.297065444459866
10,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.4176430126862998,1.1561306656459973,1.156130665645997,0.3456441400374105,0.4238275262132317,0.4238275262132318,1.193299192463874
12.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.53414054676641,1.2349736471303832,1.2349736471303836,0.3193970728645424,0.39676960001420003,0.39676960001419986,1.1129362728929422
15,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.6209904195840084,1.2930609229531111,1.2930589735450628,0.30228432819840334,0.3789457954393447,0.378946366735781,1.0601764903735291
17.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.6902477917576118,1.337430893576397,1.3374347952137244,0.2898983228313946,0.36637407013210294,0.3663730013257933,1.0226453942892908
20,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.7435044403058861,1.3729968471197558,1.3730011047185295,0.28104316150409847,0.35688355805616867,0.3568824513804392,0.9948091709407063
0.5,1.0,0.7,0.5,0.7,0.5,0.05,-0.19888231070862905,-0.21112901558724456,-0.22874487630953325,-1.7598347422298644,-1.657754141592016,-1.5300889167300369,-4.947677800551917
1.25,1.0,0.7,0.5,0.7,0.5,0.05,0.08297521631620246,0.081039912144573,0.07872689478844905,4.218126996695228,4.318859568549501,4.445748824979092,12.98273539022382
1.5,1.0,0.7,0.5,0.7,0.5,0.05,0.15809048854826466,0.15123646934519064,0.1434026329332333,2.2139219330272724,2.3142566175698023,2.440680431320645,6.96885898191772
1.75,1.0,0.7,0.5,0.7,0.5,0.05,0.2267077733522251,0.21292032552287973,0.19776570802306212,1.5438376674284635,1.6438073685097296,1.7697709248925264,4.957415960830719
2,1.0,0.7,0.5,0.7,0.5,0.05,0.2898155332191762,0.26772732164061896,0.24427281546520777,1.207664738022543,1.3073002704961838,1.4328241942659032,3.94778920278463
3,1.0,0.7,0.5,0.7,0.5,0.05,0.5001139035415433,0.4383812156579125,0.379432549562372,0.6998405713608126,0.798391873325886,0.9224300877815602,2.420662532468259
5,1.0,0.7,0.5,0.7,0.5,0.05,0.7921423858587662,0.6493575173957044,0.5294215561534062,0.44183975791241487,0.5389942991708181,0.6610988841160508,1.6419329411992838
8,1.0,0.7,0.5,0.7,0.5,0.05,1.0636795825729342,0.8234802021319558,0.6415542486834597,0.3290464588531305,0.4250253972030713,0.545550124121598,1.2996219801778
10,1.0,0.7,0.5,0.7,0.5,0.05,1.1861534685421748,0.8961500540362117,0.6856737693150657,0.29507142986325585,0.3905595925856599,0.5104468271400006,1.1960778495889164
12.5,1.0,0.7,0.5,0.7,0.5,0.05,1.3017941229286754,0.961754678064587,0.7242471861773403,0.26885971739724646,0.36391816747315636,0.4832604208617504,1.1160383057321532
15,1.0,0.7,0.5,0.7,0.5,0.05,1.3909544495891069,1.0103631052548712,0.7520201217167531,0.25162578120612883,0.34641011551160117,0.46541307857694103,1.063448975294671
17.5,1.0,0.7,0.5,0.7,0.5,0.05,1.4617366294591496,1.0477548210466863,0.7731407771220936,0.23944121871633048,0.33404761588246085,0.45269892671141354,1.0261877613102048
20,1.0,0.7,0.5,0.7,0.5,0.05,1.5197731545861828,1.07881523194946,0.789725177782819,0.23029752759075486,0.3244299761763066,0.4431921506955587,0.9979196544626201
0.5,1.0,0.7,0.3,0.7,0.3,0.03,-0.11608632833814383,-0.12199699376608837,-0.14768536392019405,-1.8089985531138368,-1.7213538917413382,-1.4219418527720826,-4.952294297627258
1.25,1.0,0.7,0.3,0.7,0.3,0.03,0.05034107600259305,0.049325845225746935,0.0461068181415595,4.1715437307931795,4.25740297077332,4.554640907018292,12.983587608584791
1.5,1.0,0.7,0.3,0.7,0.3,0.03,0.09686202002321778,0.09318683106332713,0.08236297943423807,2.168032423334379,2.2535373035412047,2.549689210401531,6.971258937277115
1.75,1.0,0.7,0.3,0.7,0.3,0.03,0.1401435315136311,0.1326031915745375,0.11177527705780833,1.498463737368958,1.5836722895312592,1.878769666492452,4.96090569339267
2,1.0,0.7,0.3,0.7,0.3,0.03,0.18061269205004227,0.16831457998562394,0.13620750195719,1.1627089858215247,1.2476637497353853,1.541765299138978,3.9521380346958885
